customer_id,customer_type,name,email,phone,address,kyc_status
CUST000000,Individual,Heather Cross,braunbrianna@example.com,,"588 David Valleys Suite 061, Port Meganfurt, ME 68402",Verified
CUST000001,Individual,Adam Hernandez,morsejeffrey@example.org,001-564-311-0763x030,,Verified
CUST000002,Individual,Rebecca Morales,xwilliamson@example.com,,,Verified
CUST000003,Individual,Michael Kline,brandon48@example.org,+1-951-964-5914x16723,"2350 Pamela Hill Suite 234, Collinsview, WI 41765",Verified
CUST000004,Individual,Grace Serrano,zgraham@example.com,(760)854-0408x1479,,Rejected
CUST000005,Individual,Elizabeth Phillips,sarahmiller@example.net,,"7285 Carter Valleys, West Janetbury, SD 62354",Verified
CUST000006,Individual,Richard Mercer,suejoseph@example.com,280-939-9321x0555,"160 Evans Key Apt. 329, Brendamouth, NY 08623",Verified
CUST000007,Business,Tiffany Anderson,michael94@example.com,731-499-7451x402,"7424 Miller Falls, Cookbury, VI 71951",Verified
CUST000008,Individual,Brandy Kelley,juliamorales@example.org,001-880-441-8962x67208,"610 Page View Suite 391, Devonbury, MI 78280",Verified
CUST000009,Individual,Jason Reed,jasonpadilla@example.com,001-797-615-6359,"7515 Gonzalez Falls Suite 026, North Yvonnefurt, VA 10999",Verified
CUST000010,Individual,Scott Ramirez,mmedina@example.net,(525)912-8449x39404,"3200 Rodriguez Ferry Suite 329, Bradleyport, IA 84314",Verified
CUST000011,Individual,Brenda Lopez,jessicaschmidt@example.org,2154143161,,Verified
CUST000012,Individual,Juan Collins,boydelaine@example.net,001-616-985-8456,"759 Mann Lakes, Loganberg, NH 69306",Pending
CUST000013,Individual,Ronald Torres,margarethebert@example.net,,"6246 Nichols Greens, South Craig, AZ 95456",Verified
CUST000014,Business,Crystal Eaton,julianwilliams@example.net,737-708-7912x6251,"205 Stacey Bridge Apt. 331, Port Anthony, TN 75189",Verified
CUST000015,Business,Robin Lopez,shawsusan@example.net,323-970-4925,"072 Samantha Route, South Ashleystad, DC 77820",Verified
CUST000016,Individual,Kevin Hunt,blackpaula@example.net,(808)301-4990x09029,"6162 Justin Camp Suite 941, Karenmouth, KS 56549",Verified
CUST000017,Business,Randall Ford,brian86@example.net,(985)756-4281,,Verified
CUST000018,Individual,Michael Berry,ericthomas@example.com,(452)266-9887x55406,"6002 Stephanie Drive, Smithport, IL 05594",Verified
